id,name,host_id,host_is_superhost,neighbourhood_cleansed,property_type,amenities,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,amenities_list
609019,AWESOME APARTMENT IN LEBLON,3018529,False,Leblon,Entire rental unit,"[""Lake access"", ""Dedicated workspace"", ""Essentials"", ""Smoke alarm"", ""Wine glasses"", ""Self check-in"", ""Shared indoor pool - available all year"", ""Clothing storage: wardrobe"", ""Shared gym in building"", ""Shared sauna"", ""Mountain view"", ""Fire extinguisher"", ""Paid parking off premises"", ""Iron"", ""Backyard"", ""Building staff"", ""Luggage dropoff allowed"", ""Wifi"", ""Refrigerator"", ""TV with standard cable"", ""Blender"", ""Exercise equipment"", ""Bed linens"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hot water"", ""Kitchen"", ""AC - split type ductless system"", ""Carbon monoxide alarm"", ""Shared hot tub"", ""Coffee maker"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Dining table"", ""Hair dryer"", ""City skyline view"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Hangers"", ""Elevator"", ""Gas stove"", ""Free washer \u2013 In unit"", ""Shared beach access"", ""Dishes and silverware"", ""Ceiling fan""]",700.0,4.71,4.79,4.75,4.92,4.85,5.0,4.44,"['Lake access', 'Dedicated workspace', 'Essentials', 'Smoke alarm', 'Wine glasses', 'Self check-in', 'Shared indoor pool - available all year', 'Clothing storage: wardrobe', 'Shared gym in building', 'Shared sauna', 'Mountain view', 'Fire extinguisher', 'Paid parking off premises', 'Iron', 'Backyard', 'Building staff', 'Luggage dropoff allowed', 'Wifi', 'Refrigerator', 'TV with standard cable', 'Blender', 'Exercise equipment', 'Bed linens', 'Exterior security cameras on property', 'Cooking basics', 'Hot water', 'Kitchen', 'AC - split type ductless system', 'Carbon monoxide alarm', 'Shared hot tub', 'Coffee maker', 'Long term stays allowed', 'Extra pillows and blankets', 'Microwave', 'Dining table', 'Hair dryer', 'City skyline view', 'Drying rack for clothing', 'Laundromat nearby', 'Hangers', 'Elevator', 'Gas stove', 'Free washer – In unit', 'Shared beach access', 'Dishes and silverware', 'Ceiling fan']"
634088,"Leblon, av Cupertino, near beach with 24h doorman,",635510,True,Leblon,Entire rental unit,"[""Pack \u2019n play/Travel crib"", ""Dedicated workspace"", ""Oven"", ""Building staff"", ""TV with standard cable"", ""Bed linens"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""Coffee maker"", ""Room-darkening shades"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Iron"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Toaster"", ""Microwave"", ""Crib"", ""Free parking on premises"", ""Elevator"", ""Self check-in"", ""Air conditioning""]",555.0,5.0,5.0,5.0,5.0,5.0,5.0,4.78,"['Pack ’n play/Travel crib', 'Dedicated workspace', 'Oven', 'Building staff', 'TV with standard cable', 'Bed linens', 'Washer', 'Hot water', 'Hair dryer', 'Dryer', 'Hangers', 'Coffee maker', 'Room-darkening shades', 'Refrigerator', 'Essentials', 'Kitchen', 'Iron', 'Stove', 'Wifi', 'Dishes and silverware', 'Toaster', 'Microwave', 'Crib', 'Free parking on premises', 'Elevator', 'Self check-in', 'Air conditioning']"
720654,3 bedrooms in the beach of Leblon,3528095,False,Leblon,Entire rental unit,"[""Dishes and silverware"", ""Essentials"", ""Hair dryer"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""Beach access \u2013 Beachfront"", ""Shampoo"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Refrigerator"", ""Garden view"", ""Free parking on premises"", ""Elevator"", ""Washer"", ""Air conditioning"", ""Wifi""]",2202.0,4.83,5.0,4.5,5.0,5.0,5.0,5.0,"['Dishes and silverware', 'Essentials', 'Hair dryer', 'TV with standard cable', 'Fire extinguisher', 'Kitchen', 'Beach access – Beachfront', 'Shampoo', 'Hangers', 'Iron', 'Coffee maker', 'Refrigerator', 'Garden view', 'Free parking on premises', 'Elevator', 'Washer', 'Air conditioning', 'Wifi']"
761420,"Quadrissima da Praia, Rua João Lira",2260073,False,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Private patio or balcony"", ""TV with standard cable"", ""Smoking allowed"", ""Body soap"", ""Bed linens"", ""Private backyard"", ""Shampoo"", ""Dining table"", ""Bathtub"", ""Host greets you"", ""Washer"", ""Window guards"", ""Laundromat nearby"", ""Coffee"", ""Hot water"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Room-darkening shades"", ""Blender"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Dishwasher"", ""Essentials"", ""Pets allowed"", ""Fire extinguisher"", ""Kitchen"", ""Single level home"", ""Long term stays allowed"", ""Iron"", ""Private hot tub"", ""Drying rack for clothing"", ""Stove"", ""Conditioner"", ""Books and reading material"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Clothing storage: wardrobe"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Outdoor furniture"", ""Elevator"", ""Paid parking on premises"", ""Beach access \u2013 Beachfront"", ""Air conditioning""]",529.0,4.9,4.97,4.9,4.98,4.97,4.98,4.77,"['Dedicated workspace', 'Private patio or balcony', 'TV with standard cable', 'Smoking allowed', 'Body soap', 'Bed linens', 'Private backyard', 'Shampoo', 'Dining table', 'Bathtub', 'Host greets you', 'Washer', 'Window guards', 'Laundromat nearby', 'Coffee', 'Hot water', 'Hair dryer', 'Dryer', 'Hangers', 'Coffee maker', 'Wine glasses', 'Room-darkening shades', 'Blender', 'Luggage dropoff allowed', 'Refrigerator', 'Dishwasher', 'Essentials', 'Pets allowed', 'Fire extinguisher', 'Kitchen', 'Single level home', 'Long term stays allowed', 'Iron', 'Private hot tub', 'Drying rack for clothing', 'Stove', 'Conditioner', 'Books and reading material', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Clothing storage: wardrobe', 'Microwave', 'Cleaning products', 'Extra pillows and blankets', 'Outdoor furniture', 'Elevator', 'Paid parking on premises', 'Beach access – Beachfront', 'Air conditioning']"
765614,"Leblon Cozy and Charming, Top",4036979,True,Leblon,Entire rental unit,"[""Paid parking on premises"", ""Window AC unit"", ""Room-darkening shades"", ""Dedicated workspace"", ""Essentials"", ""Host greets you"", ""Wine glasses"", ""Coffee maker: espresso machine"", ""Coffee"", ""Iron"", ""Body soap"", ""Wifi"", ""Refrigerator"", ""TV with standard cable"", ""Blender"", ""Bed linens"", ""Hot water"", ""Mini fridge"", ""Kitchen"", ""Single level home"", ""Paid street parking off premises"", ""Beach access \u2013 Beachfront"", ""Long term stays allowed"", ""Microwave"", ""Extra pillows and blankets"", ""Stainless steel electric stove"", ""Dining table"", ""Private entrance"", ""Clothing storage"", ""Laundromat nearby"", ""Hangers"", ""Dishes and silverware"", ""Ceiling fan""]",350.0,4.81,4.86,4.88,4.93,4.88,4.99,4.65,"['Paid parking on premises', 'Window AC unit', 'Room-darkening shades', 'Dedicated workspace', 'Essentials', 'Host greets you', 'Wine glasses', 'Coffee maker: espresso machine', 'Coffee', 'Iron', 'Body soap', 'Wifi', 'Refrigerator', 'TV with standard cable', 'Blender', 'Bed linens', 'Hot water', 'Mini fridge', 'Kitchen', 'Single level home', 'Paid street parking off premises', 'Beach access – Beachfront', 'Long term stays allowed', 'Microwave', 'Extra pillows and blankets', 'Stainless steel electric stove', 'Dining table', 'Private entrance', 'Clothing storage', 'Laundromat nearby', 'Hangers', 'Dishes and silverware', 'Ceiling fan']"
899314,2 rooms with lovely view in Leblon,4789999,True,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Private patio or balcony"", ""Oven"", ""Dove body soap"", ""Bed linens"", ""Dining table"", ""Coffee"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Room-darkening shades"", ""Blender"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Kitchen"", ""City skyline view"", ""Hot water kettle"", ""Iron"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shared beach access"", ""Free washer \u2013 In unit"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Clothing storage: wardrobe"", ""Microwave"", ""Beach view"", ""Portable fans"", ""Extra pillows and blankets"", ""Elevator"", ""40 inch HDTV with standard cable"", ""Brastemp stainless steel gas stove""]",,4.97,4.97,4.89,4.97,4.94,4.97,4.82,"['Dedicated workspace', 'Private patio or balcony', 'Oven', 'Dove body soap', 'Bed linens', 'Dining table', 'Coffee', 'Hot water', 'Hair dryer', 'Hangers', 'Wine glasses', 'Room-darkening shades', 'Blender', 'Luggage dropoff allowed', 'AC - split type ductless system', 'Refrigerator', 'Essentials', 'Fire extinguisher', 'Kitchen', 'City skyline view', 'Hot water kettle', 'Iron', 'Long term stays allowed', 'Drying rack for clothing', 'Shared beach access', 'Free washer – In unit', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Clothing storage: wardrobe', 'Microwave', 'Beach view', 'Portable fans', 'Extra pillows and blankets', 'Elevator', '40 inch HDTV with standard cable', 'Brastemp stainless steel gas stove']"
910649,Charming Apartment,4885650,False,Leblon,Entire rental unit,"[""Dishwasher"", ""Room-darkening shades"", ""Ethernet connection"", ""Air conditioning"", ""Stove"", ""Oven"", ""Essentials"", ""Wine glasses"", ""Self check-in"", ""Gym"", ""Beach view"", ""Free street parking"", ""Fire extinguisher"", ""Coffee"", ""Iron"", ""Backyard"", ""Building staff"", ""Body soap"", ""Luggage dropoff allowed"", ""Wifi"", ""Clothing storage: closet"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill"", ""Refrigerator"", ""Lake view"", ""TV with standard cable"", ""Freezer"", ""Shared pool"", ""Sauna"", ""Bed linens"", ""Cooking basics"", ""Ocean view"", ""Hot water"", ""Sea view"", ""Paid parking garage on premises"", ""Kitchen"", ""Private hot tub"", ""Smoking allowed"", ""Pets allowed"", ""Coffee maker"", ""Beach access \u2013 Beachfront"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Dining table"", ""Cleaning available during stay"", ""Hair dryer"", ""City skyline view"", ""Drying rack for clothing"", ""Cleaning products"", ""Hangers"", ""Toaster"", ""Waterfront"", ""Free washer \u2013 In unit"", ""Dishes and silverware""]",567.0,4.79,4.82,4.77,4.9,4.87,4.95,4.65,"['Dishwasher', 'Room-darkening shades', 'Ethernet connection', 'Air conditioning', 'Stove', 'Oven', 'Essentials', 'Wine glasses', 'Self check-in', 'Gym', 'Beach view', 'Free street parking', 'Fire extinguisher', 'Coffee', 'Iron', 'Backyard', 'Building staff', 'Body soap', 'Luggage dropoff allowed', 'Wifi', 'Clothing storage: closet', 'Exercise equipment: elliptical, free weights, stationary bike, treadmill', 'Refrigerator', 'Lake view', 'TV with standard cable', 'Freezer', 'Shared pool', 'Sauna', 'Bed linens', 'Cooking basics', 'Ocean view', 'Hot water', 'Sea view', 'Paid parking garage on premises', 'Kitchen', 'Private hot tub', 'Smoking allowed', 'Pets allowed', 'Coffee maker', 'Beach access – Beachfront', 'Long term stays allowed', 'Extra pillows and blankets', 'Microwave', 'Dining table', 'Cleaning available during stay', 'Hair dryer', 'City skyline view', 'Drying rack for clothing', 'Cleaning products', 'Hangers', 'Toaster', 'Waterfront', 'Free washer – In unit', 'Dishes and silverware']"
994419,"Excelente apt Leblon 3 quartos, 2 quadras da praia",5369841,False,Leblon,Entire rental unit,"[""Oven"", ""Building staff"", ""Canal view"", ""TV with standard cable"", ""Smoking allowed"", ""Bed linens"", ""Dining table"", ""Washer"", ""Heating"", ""Paid parking off premises"", ""Laundromat nearby"", ""Hot water"", ""Hair dryer"", ""Patio or balcony"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Room-darkening shades"", ""Backyard"", ""Blender"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Iron"", ""Window AC unit"", ""Drying rack for clothing"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Toaster"", ""Clothing storage: wardrobe"", ""Microwave"", ""Extra pillows and blankets"", ""Elevator"", ""Brastemp stainless steel gas stove"", ""Luggage dropoff allowed"", ""Beach access \u2013 Beachfront"", ""Self check-in""]",825.0,4.51,4.57,4.37,4.9,4.9,4.94,4.35,"['Oven', 'Building staff', 'Canal view', 'TV with standard cable', 'Smoking allowed', 'Bed linens', 'Dining table', 'Washer', 'Heating', 'Paid parking off premises', 'Laundromat nearby', 'Hot water', 'Hair dryer', 'Patio or balcony', 'Hangers', 'Coffee maker', 'Wine glasses', 'Room-darkening shades', 'Backyard', 'Blender', 'Refrigerator', 'Essentials', 'Kitchen', 'Long term stays allowed', 'Iron', 'Window AC unit', 'Drying rack for clothing', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Toaster', 'Clothing storage: wardrobe', 'Microwave', 'Extra pillows and blankets', 'Elevator', 'Brastemp stainless steel gas stove', 'Luggage dropoff allowed', 'Beach access – Beachfront', 'Self check-in']"
921000,Flat w/ amazing view at Leblon RIO,4950923,False,Leblon,Entire rental unit,"[""Building staff"", ""TV with standard cable"", ""Gym"", ""Shampoo"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Coffee maker"", ""Essentials"", ""Pets allowed"", ""Fire extinguisher"", ""Kitchen"", ""Iron"", ""Shared pool"", ""Wifi"", ""Dishes and silverware"", ""Shared patio or balcony"", ""Free parking on premises"", ""Elevator"", ""Self check-in"", ""Air conditioning""]",1924.0,4.7,4.75,4.57,4.87,4.9,4.87,4.58,"['Building staff', 'TV with standard cable', 'Gym', 'Shampoo', 'Washer', 'Hair dryer', 'Dryer', 'Hangers', 'First aid kit', 'Coffee maker', 'Essentials', 'Pets allowed', 'Fire extinguisher', 'Kitchen', 'Iron', 'Shared pool', 'Wifi', 'Dishes and silverware', 'Shared patio or balcony', 'Free parking on premises', 'Elevator', 'Self check-in', 'Air conditioning']"
1033727,Ipiabas Leblon,5689207,False,Leblon,Entire rental unit,"[""Oven"", ""TV with standard cable"", ""Smoking allowed"", ""Clothing storage"", ""Dining table"", ""Host greets you"", ""Washer"", ""Paid parking off premises"", ""Hot water"", ""Hair dryer"", ""Coffee maker"", ""Essentials"", ""Pets allowed"", ""Fire extinguisher"", ""Kitchen"", ""Iron"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Beach access \u2013 Beachfront"", ""Air conditioning""]",462.0,4.8,4.81,4.76,4.94,4.97,4.99,4.81,"['Oven', 'TV with standard cable', 'Smoking allowed', 'Clothing storage', 'Dining table', 'Host greets you', 'Washer', 'Paid parking off premises', 'Hot water', 'Hair dryer', 'Coffee maker', 'Essentials', 'Pets allowed', 'Fire extinguisher', 'Kitchen', 'Iron', 'Carbon monoxide alarm', 'Smoke alarm', 'Stove', 'Wifi', 'Dishes and silverware', 'Extra pillows and blankets', 'Luggage dropoff allowed', 'Beach access – Beachfront', 'Air conditioning']"
